frame,x,y,r,xn,yn
120,557.0,269.2,27.4,216.92303812795123,149.00446152190494
121,549.5,277.5,22.4,208.37250428848313,162.8976090640804
122,548.5,281.5,22.8,207.19482485602816,169.4650988816773
123,548.5,283.5,23.9,207.16752559485548,172.72403237432792
124,545.5,287.5,23.0,203.7494736419149,179.36498391933853
125,546.5,291.5,22.5,204.81749980617113,185.8252558356021
126,544.5,293.5,24.0,202.55090829675385,189.15941343941665
127,543.5,304.5,23.9,201.29113873042454,207.03210348619285
128,542.5,312.5,20.8,200.07315485295013,220.00306370308923
129,545.5,312.5,21.0,203.42311528537584,219.87750236258148
130,544.5,319.5,23.8,202.21668710424007,231.20643588084894
131,544.5,323.5,21.6,202.16550669254076,237.64523739160626
132,550.5,330.5,23.9,208.7585556988432,248.64794040810634
133,553.5,338.5,27.4,211.986213071221,261.3542781040041
134,546.5,344.5,27.4,204.12029677071186,271.2381404202358
135,543.5,356.5,21.6,200.63657889410038,290.5031414519966
136,544.5,357.5,22.2,201.73301295138182,292.0555334698221
137,545.5,359.5,20.7,202.81634655659107,295.1987828603687
138,554.5,386.5,23.6,212.41063260485387,337.63278763656626
139,536.5,370.5,27.4,192.71675622828573,313.02271252554004
140,555.5,401.5,24.8,213.29966854968748,361.2154131407119
141,544.5,392.5,25.7,201.29249315224365,347.47555558434965
142,544.5,392.5,24.6,201.29249315224365,347.47555558434965
143,543.5,395.5,24.0,200.15248239069257,352.23628695322816
144,543.5,397.5,23.0,200.12781234497007,355.38227026726753
145,546.5,404.5,21.8,203.34461524191104,366.26526096375426
146,546.5,405.5,23.0,203.33180749240896,367.8343115478402
147,537.5,440.5,25.8,193.0325805858865,422.7752082497103
148,547.5,417.5,23.8,204.27735508852888,386.5886213239056
149,550.5,421.5,22.9,207.520807205788,392.7267551172499
150,548.5,423.5,27.4,205.2978521278592,395.9220685174843
151,548.5,434.5,22.4,205.1543176554044,413.05693882305576
152,547.5,447.5,21.4,203.89131805206065,433.2692929689285
153,546.5,451.5,25.1,202.74684482877407,439.49686310636406
154,546.5,458.5,23.5,202.6585425516915,450.3145902495665
155,549.5,465.5,21.8,205.84343621861262,461.0046574903125
156,552.5,468.5,21.3,209.07625173045457,465.5200219495051
157,553.5,470.5,22.7,210.13959970026406,468.5630809494305
158,550.5,481.5,21.8,206.72329050396036,485.56085005236474
159,552.5,474.5,27.4,208.99500307687745,474.74777054248284
160,557.5,480.5,22.9,214.358435665515,483.78738257553573
161,554.5,491.5,23.9,210.93963397070237,500.7348922214838
162,553.5,495.5,22.9,209.79812484207932,506.88003331158365
163,551.5,503.5,25.1,207.51939246018924,519.147243132486
164,547.5,502.5,20.4,203.1926249531683,517.7572048761144
165,551.5,504.5,25.2,207.50614633938528,520.6701719241465
166,549.5,508.5,24.1,205.28504524343523,526.8234812147701
167,548.5,514.5,25.2,204.1246824782835,535.9728134578385
168,548.5,513.5,24.1,204.1374003500341,534.4545782960477
169,542.5,526.5,23.0,197.48705559585628,554.3500710240411
170,549.5,519.5,23.0,205.143357469784,543.5245437541488
171,550.5,526.5,20.5,206.13455904691327,554.0915176227651
172,552.5,531.5,21.3,208.2304185711169,561.584823054889
173,553.5,541.5,20.7,209.17647778983223,576.6351555880751
174,552.5,546.5,23.6,208.03137541118878,584.1909852262283
175,549.5,551.5,27.4,204.73381934776796,591.797740599528
176,552.5,560.5,24.1,207.84640460972318,605.1988909307032
177,549.5,572.5,24.1,204.46717863360308,623.2272925506584
178,549.5,577.5,24.1,204.40393808070155,630.6816014286734
179,548.5,578.5,26.6,203.31860072750345,632.201308390698
180,549.5,584.5,23.5,204.3155590517806,641.0990400766299
181,575.5,594.5,27.4,232.03179813435193,655.175410436255
182,576.5,592.5,27.4,233.1371087937098,652.1782765041567
183,552.5,600.5,23.9,207.3221440806703,664.7413466678379
184,551.5,608.5,22.8,206.14995100087677,676.5942314048509
185,544.5,622.5,25.2,198.5108956394362,697.4171381762977
186,550.5,622.5,21.6,204.90474508410145,697.2467216637098
187,550.5,623.5,24.0,204.8921179619467,698.7165685699719
188,548.5,630.5,27.4,202.67486257871607,709.0495351725599
189,550.5,631.5,23.8,204.79123503825468,710.4597394576646
190,550.5,637.5,20.7,204.71572889568972,719.2489527631702
191,552.5,637.5,24.0,206.84270429784303,719.1933232436622
192,555.5,646.5,21.5,209.91348709059423,732.2663628145674
193,557.5,652.5,22.5,211.95640738301674,740.963551650615
194,553.5,656.5,27.4,207.65912092655284,746.8980292758573
195,556.5,662.5,25.2,210.76062810713793,755.5430066885135
196,556.5,675.5,21.8,210.58654855931306,774.39714246052
197,552.5,684.5,24.1,206.2411711813912,787.5119491479625
198,553.5,691.5,24.1,207.20744169864358,797.5810328526825
199,555.5,697.5,22.8,209.23907997209383,806.166537630774
200,560.5,703.5,20.8,214.42816778708695,814.6620168555692
201,561.5,699.5,21.3,215.53801208589482,808.8896249977103
202,574.5,713.5,21.6,229.02454173415106,828.6514957735719
203,563.5,714.5,23.0,217.43200292067297,830.357062102986
204,570.5,746.5,27.4,224.30880574799482,875.7841700963984
205,561.5,728.5,22.9,215.13248188686487,850.4047698597924
206,557.5,736.5,21.6,210.82693623877248,861.8917955326732
207,563.5,737.5,27.4,217.10445435593292,863.169692813852
208,561.5,741.5,27.4,214.9518006034996,868.9015665736163
209,558.5,745.5,25.2,211.7546765786733,874.6499383760383
210,557.5,749.5,23.9,210.6545948577238,880.343741529379
211,551.5,757.5,27.4,204.2781031491903,891.8037277641181
212,546.5,778.5,27.3,198.81235134208967,921.5034250195257
213,549.5,783.5,27.4,201.8777103731753,928.4538498370597
214,552.5,783.5,25.1,205.0007920522365,928.3869822700985
215,564.5,780.5,21.8,217.54003264804376,923.908298272689
216,564.5,790.5,21.6,217.39854896539873,937.9312004647509
217,561.5,796.5,25.0,214.19486417137708,946.3910499859954
218,559.5,807.5,25.2,211.96912613151855,961.7847688642178
219,558.5,815.5,24.5,210.8261322732999,972.9391394584819
220,558.5,816.5,27.4,210.81300256129097,974.3289588740126
221,560.5,819.5,22.3,212.84574354973032,978.4540189100107
222,561.5,826.5,24.4,213.78702104594038,988.1429749326716
223,558.5,850.5,23.3,210.36882449890376,1021.3465396590657
224,567.5,842.5,21.7,219.76821711892086,1010.1429971830844
225,561.5,847.5,23.1,213.50361198446393,1017.1562722667836
226,558.5,856.5,22.9,210.29088768101488,1029.5963857039687
227,558.5,860.5,23.8,210.23900392522384,1035.0884369462722
228,563.5,862.5,27.4,215.3618782512753,1037.7346653488005
229,560.5,868.5,23.9,212.19302274777692,1046.0151977713242
230,559.5,872.5,23.0,211.1119005009993,1051.5079067112447
231,564.5,878.5,23.8,216.17085706465338,1059.6116877428408
232,556.5,888.5,25.2,207.82591070293324,1073.3951672823273
233,566.5,889.5,21.1,218.07158419957057,1074.570666895014
234,581.5,878.5,27.4,233.64658526478448,1059.2896125793875
235,565.5,898.5,27.4,216.920790312362,1086.8242488726223
236,571.5,907.5,21.7,222.93755815376034,1098.9203649177882
237,568.5,917.5,22.8,219.72449527667715,1112.4985529018882
238,564.5,927.5,25.8,215.5004917695044,1126.0537451666414
239,564.5,939.5,21.7,215.33773360458903,1142.185229624075
240,565.5,938.5,27.4,216.37015714302217,1140.8261243831266
241,569.5,946.5,24.0,220.33216535733914,1151.4868796945598
242,572.5,945.5,22.3,223.40086709038675,1150.0971388072624
243,552.5,978.5,27.4,202.65838188120654,1194.4242789911345
244,573.5,955.5,27.4,224.2712049984845,1163.4620432087445
245,588.5,938.5,27.4,239.81743031263332,1140.4371747830742
246,573.5,980.5,21.2,223.90324123370473,1196.7517065531763
247,573.5,985.5,21.8,223.82995803013753,1203.3816343043916
248,570.5,987.5,25.2,220.76408933944828,1206.0768776934046
249,568.5,990.5,25.2,218.6981681182922,1210.0782390442748
250,568.5,992.5,23.0,218.6703449262522,1212.723573258174
251,567.5,1001.5,27.4,217.53531051058616,1224.624095974869
252,567.5,1003.5,25.0,217.50785597204978,1227.2612325080768
253,570.5,1011.5,21.6,220.4241558127168,1237.7515032505921
254,569.5,1023.5,23.0,219.2480332000375,1253.5234366549246
255,572.5,1022.5,25.2,222.283551359417,1252.1698443103994
256,574.5,1035.5,21.7,224.108244164946,1269.159455873161
257,572.5,1047.5,21.7,221.92592967320718,1284.840478085822
258,571.5,1056.5,23.6,220.7953167144809,1296.5594805584542
259,567.5,1065.5,23.5,216.66431665346013,1308.2871201335877
260,566.5,1068.5,26.3,215.6232891694438,1312.185123157001
261,568.5,1074.5,24.9,217.5428621511414,1319.920790468506
262,582.5,1063.5,27.4,231.71586889054268,1305.5020659436386
263,557.5,1090.5,27.4,206.35498910696188,1340.6864209103449
264,574.5,1100.5,21.7,223.16881988352074,1353.3333424317707
265,578.5,1129.5,27.4,226.72549746601928,1390.3592906195204
266,566.5,1106.5,21.6,215.11908661527505,1361.1195098548815
267,565.5,1119.5,21.5,213.95430987561699,1377.7538843711734
268,568.5,1125.5,21.6,216.85444618170536,1385.3730331419717
269,566.5,1124.5,25.2,214.88209292353662,1384.1204662375853
270,568.5,1129.5,25.1,216.8008608540865,1390.4677433502827
271,568.5,1136.5,22.9,216.7072281436467,1399.3700221438662
272,569.5,1141.5,23.9,217.63108323481956,1405.7078415882297
273,572.5,1150.5,22.9,220.47837247661394,1417.0824893018935
274,574.5,1155.5,24.1,222.3869854950203,1423.3869278313437
275,571.5,1169.5,23.0,219.22884118398522,1441.0795299064134
276,571.5,1174.5,25.2,219.16064520913835,1447.371160677747
277,570.5,1189.5,23.0,217.972396804934,1466.2036635146474
278,570.5,1194.5,26.0,217.90524381293721,1472.4609041492959
279,571.5,1198.5,27.4,218.8345968563249,1477.451760802737
280,574.5,1207.5,23.6,221.65855162514154,1488.655743148323
281,572.5,1207.5,23.0,219.69472505197808,1488.6728290563638
282,576.5,1219.5,23.9,223.45270641467434,1503.5705155751014
283,611.5,1240.5,27.4,257.4010089646647,1529.3183823950053
284,586.5,1242.5,22.9,232.9046916248314,1531.9789128865634
285,577.5,1236.5,22.9,224.19123497909575,1524.6331790398579
286,574.5,1238.5,27.4,221.22917354926523,1527.1286910635424
287,569.5,1258.5,25.2,216.07870958865053,1551.8144402203845
288,572.5,1259.5,27.4,218.99033989367757,1553.0221412794854
289,571.5,1256.5,23.0,218.05537379518682,1549.341396520896
290,573.5,1260.5,24.5,219.95174092082007,1554.2437416727328
291,577.5,1246.5,23.9,224.04944063444498,1536.9825347509152
292,575.5,1277.5,22.7,221.66678005102543,1575.0672181728573
293,576.5,1281.5,25.2,222.58390789163016,1579.9498615466593
294,575.5,1290.5,27.4,221.48795894726274,1590.9375299349103
295,579.5,1303.5,22.9,225.1873723034126,1606.7291003782075
296,577.5,1314.5,23.9,223.09531975504746,1620.0801939702433
297,577.5,1329.5,21.3,222.88718869634627,1638.2070415871046
298,574.5,1333.5,25.1,219.93550241710457,1643.0436501248944
299,572.5,1337.5,27.4,217.95211431747177,1647.869542554239
300,577.5,1346.5,21.6,222.65231425421544,1658.663062174186
301,578.5,1344.5,21.0,223.64399638841292,1656.2565663753542
302,611.5,1360.5,27.4,255.19279009851797,1675.2934580477754
303,579.5,1369.5,21.6,224.25805729640953,1686.183443297289
304,582.5,1384.5,20.8,226.92641294245146,1704.0360260412358
305,580.5,1389.5,20.8,224.93807834496826,1709.9821961431312
306,572.5,1388.5,24.0,217.28489569418565,1708.8234950970595
307,575.5,1390.5,27.4,220.13303538279501,1711.186532593968
308,576.5,1400.5,23.9,220.95636903995788,1723.0329236569048
309,573.5,1404.5,22.4,218.03364812639725,1727.773500582407
310,574.5,1405.5,25.2,218.97671703409614,1728.952321700816
311,574.5,1409.5,25.2,218.9239869339215,1733.6770212408298
312,578.5,1419.5,22.8,222.61025912382917,1745.4559259010118
313,580.5,1420.5,27.4,224.50553611443658,1746.6278615609212
314,581.5,1432.5,25.2,225.29205817475258,1760.7303762040494
315,582.5,1442.5,23.0,226.10425328054015,1772.448503250594
316,578.5,1449.5,27.4,222.20248041528464,1780.6424291611168
317,577.5,1463.5,27.4,221.0642907713285,1796.9694728844906
318,576.5,1474.5,25.8,219.9699176381619,1809.7555767271556
319,577.5,1478.5,27.4,220.86422269678414,1814.394087561884
320,578.5,1484.5,27.4,221.73079120779616,1821.3436562955358
321,580.5,1486.5,27.4,223.59634386296398,1823.6560745216677
322,603.5,1536.5,27.4,244.54983817146837,1881.1339021863846
323,578.5,1582.5,27.4,220.43279011889794,1933.3458736480782
324,582.5,1582.5,23.9,224.1705771575721,1933.3510381491085
325,582.5,1582.5,23.9,224.1705771575721,1933.3510381491085
326,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
327,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
328,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
329,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
330,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
331,578.5,1582.5,27.4,220.43279011889794,1933.3458736480782
332,582.5,1582.5,23.9,224.1705771575721,1933.3510381491085
333,582.5,1582.5,23.9,224.1705771575721,1933.3510381491085
334,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
335,573.5,1578.5,22.9,215.81135766649712,1928.8240070308075
336,584.5,1580.5,21.7,226.06732381359237,1931.0959764642962
337,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
338,577.5,1582.5,27.4,219.49844233601823,1933.3445826595766
339,578.5,1582.5,27.4,220.43279011889794,1933.3458736480782
340,577.5,1582.5,27.4,219.49844233601823,1933.3445826595766
341,577.5,1582.5,27.4,219.49844233601823,1933.3445826595766
342,584.5,1581.5,22.4,226.05351424793216,1932.2249446945918
343,581.5,1580.5,24.9,223.2629590355699,1931.0922452027828
344,580.5,1579.5,25.2,222.34157796614863,1929.9618361020441
345,582.5,1577.5,23.9,224.23842979973864,1927.7049726087146
346,579.5,1581.5,27.4,221.38037733778103,1932.2186073926252
347,580.5,1582.5,26.1,222.30160445177157,1933.3484557891811
348,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
349,581.5,1580.5,25.0,223.2629590355699,1931.0922452027828
350,584.5,1577.5,21.5,226.1087739694209,1927.707317456277
351,585.5,1579.5,21.0,227.0161257809249,1929.9679360081732
352,579.5,1577.5,21.7,221.4332109110406,1927.701455710179
353,578.5,1580.5,27.4,220.45895080402514,1931.0885144156623
354,578.5,1580.5,27.4,220.45895080402514,1931.0885144156623
355,581.5,1581.5,25.2,223.24951328129458,1932.221142152278
356,582.5,1582.5,23.9,224.1705771575721,1933.3510381491085
357,581.5,1581.5,25.2,223.24951328129458,1932.221142152278
358,578.5,1583.5,27.4,220.41971485316893,1934.47411519321
359,584.5,1580.5,21.8,226.06732381359237,1931.0959764642962
360,582.5,1582.5,25.0,224.1705771575721,1933.3510381491085
361,585.5,1579.5,21.0,227.0161257809249,1929.9679360081732
362,580.5,1581.5,25.2,222.3149255077917,1932.2198747455977
363,580.5,1582.5,25.2,222.30160445177157,1933.3484557891811
364,580.5,1583.5,26.3,222.28828684273876,1934.4767447985146
365,582.5,1579.5,23.6,224.21127820234622,1929.9642759093545
366,582.5,1581.5,23.8,224.18414066080706,1932.2224096126677
367,626.5,1582.5,20.7,265.3280858209008,1933.4079054863043
368,585.5,1580.5,21.0,227.00219131723804,1931.0972203235692
369,583.5,1580.5,23.0,225.1324959337785,1931.0947326577425
370,582.5,1582.5,23.9,224.1705771575721,1933.3510381491085
371,581.5,1582.5,25.0,223.23607100679772,1933.3497469417896
372,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
373,579.5,1577.5,21.7,221.4332109110406,1927.701455710179
374,585.5,1578.5,20.5,227.03006385304244,1928.838359256395
375,579.5,1583.5,26.3,221.35398105772384,1934.4754299680121
376,578.5,1583.5,27.4,220.41971485316893,1934.47411519321
377,579.5,1581.5,27.4,221.38037733778103,1932.2186073926252
378,585.5,1579.5,21.0,227.0161257809249,1929.9679360081732
379,575.5,1582.5,27.4,217.62986552479336,1933.342000846657
380,585.5,1581.5,21.6,226.9882604605807,1932.2262123161336
381,580.5,1582.5,25.2,222.30160445177157,1933.3484557891811
382,578.5,1581.5,27.4,220.44586876874536,1932.2173400933552
383,578.5,1582.5,26.3,220.43279011889794,1933.3458736480782
384,580.5,1576.5,23.0,222.3815825395729,1926.5725850430547
385,578.5,1582.5,27.4,220.43279011889794,1933.3458736480782
